Date,Hour,HOEP
01-Jan-18,1,51.29
01-Jan-18,2,43.59
01-Jan-18,3,93.60
01-Jan-18,4,54.78
01-Jan-18,5,14.35
01-Jan-18,6,18.60
01-Jan-18,7,21.72
01-Jan-18,8,40.89
01-Jan-18,9,20.75
01-Jan-18,10,74.57
01-Jan-18,11,4.65
01-Jan-18,12,9.45
01-Jan-18,13,13.65
01-Jan-18,14,14.37
01-Jan-18,15,26.73
01-Jan-18,16,42.12
01-Jan-18,17,42.28
01-Jan-18,18,44.84
01-Jan-18,19,42.22
01-Jan-18,20,41.06
01-Jan-18,21,43.76
01-Jan-18,22,48.38
01-Jan-18,23,42.58
01-Jan-18,24,38.14
02-Jan-18,1,31.12
02-Jan-18,2,10.76
02-Jan-18,3,14.34
02-Jan-18,4,0.29
02-Jan-18,5,1.43
02-Jan-18,6,14.36
02-Jan-18,7,19.10
02-Jan-18,8,34.90
02-Jan-18,9,43.72
02-Jan-18,10,46.03
02-Jan-18,11,49.40
02-Jan-18,12,66.60
02-Jan-18,13,42.14
02-Jan-18,14,40.35
02-Jan-18,15,34.36
02-Jan-18,16,29.98
02-Jan-18,17,42.86
02-Jan-18,18,42.33
02-Jan-18,19,40.37
02-Jan-18,20,42.44
02-Jan-18,21,42.29
02-Jan-18,22,41.64
02-Jan-18,23,8.01
02-Jan-18,24,29.72
03-Jan-18,1,2.31
03-Jan-18,2,19.43
03-Jan-18,3,0.00
03-Jan-18,4,0.00
03-Jan-18,5,0.00
03-Jan-18,6,0.00
03-Jan-18,7,32.26
03-Jan-18,8,66.58
03-Jan-18,9,79.95
03-Jan-18,10,88.93
03-Jan-18,11,84.83
03-Jan-18,12,86.87
03-Jan-18,13,88.33
03-Jan-18,14,64.63
03-Jan-18,15,40.84
03-Jan-18,16,56.34
03-Jan-18,17,82.30
03-Jan-18,18,89.30
03-Jan-18,19,88.01
03-Jan-18,20,81.94
03-Jan-18,21,83.84
03-Jan-18,22,84.16
03-Jan-18,23,76.34
03-Jan-18,24,46.04
04-Jan-18,1,15.77
04-Jan-18,2,4.94
04-Jan-18,3,6.47
04-Jan-18,4,0.75
04-Jan-18,5,0.00
04-Jan-18,6,0.42
04-Jan-18,7,23.91
04-Jan-18,8,64.70
04-Jan-18,9,67.25
04-Jan-18,10,66.97
04-Jan-18,11,61.74
04-Jan-18,12,58.55
04-Jan-18,13,51.98
04-Jan-18,14,13.35
04-Jan-18,15,13.33
04-Jan-18,16,13.35
04-Jan-18,17,21.10
04-Jan-18,18,54.40
04-Jan-18,19,56.01
04-Jan-18,20,58.91
04-Jan-18,21,58.82
04-Jan-18,22,60.96
04-Jan-18,23,73.71
04-Jan-18,24,106.23
05-Jan-18,1,18.50
05-Jan-18,2,13.33
05-Jan-18,3,13.36
05-Jan-18,4,13.34
05-Jan-18,5,13.45
05-Jan-18,6,9.69
05-Jan-18,7,68.23
05-Jan-18,8,77.02
05-Jan-18,9,79.79
05-Jan-18,10,77.02
05-Jan-18,11,81.64
05-Jan-18,12,80.73
05-Jan-18,13,70.35
05-Jan-18,14,67.87
05-Jan-18,15,68.42
05-Jan-18,16,75.97
05-Jan-18,17,77.90
05-Jan-18,18,105.23
05-Jan-18,19,112.51
05-Jan-18,20,95.42
05-Jan-18,21,128.05
05-Jan-18,22,77.94
05-Jan-18,23,69.07
05-Jan-18,24,67.57
06-Jan-18,1,42.71
06-Jan-18,2,12.21
06-Jan-18,3,13.32
06-Jan-18,4,13.36
06-Jan-18,5,21.76
06-Jan-18,6,13.35
06-Jan-18,7,47.60
06-Jan-18,8,54.38
06-Jan-18,9,65.51
06-Jan-18,10,60.85
06-Jan-18,11,59.86
06-Jan-18,12,76.16
06-Jan-18,13,64.84
06-Jan-18,14,60.60
06-Jan-18,15,61.00
06-Jan-18,16,67.48
06-Jan-18,17,78.69
06-Jan-18,18,246.37
06-Jan-18,19,75.54
06-Jan-18,20,60.75
06-Jan-18,21,75.64
06-Jan-18,22,104.00
06-Jan-18,23,58.07
06-Jan-18,24,51.34
07-Jan-18,1,48.40
07-Jan-18,2,46.71
07-Jan-18,3,37.49
07-Jan-18,4,25.74
07-Jan-18,5,11.34
07-Jan-18,6,7.27
07-Jan-18,7,14.34
07-Jan-18,8,14.34
07-Jan-18,9,44.70
07-Jan-18,10,14.38
07-Jan-18,11,14.37
07-Jan-18,12,45.71
07-Jan-18,13,47.00
07-Jan-18,14,44.40
07-Jan-18,15,45.38
07-Jan-18,16,39.92
07-Jan-18,17,45.87
07-Jan-18,18,52.62
07-Jan-18,19,62.28
07-Jan-18,20,41.06
07-Jan-18,21,34.24
07-Jan-18,22,20.86
07-Jan-18,23,28.24
07-Jan-18,24,27.67
08-Jan-18,1,0.00
08-Jan-18,2,0.00
08-Jan-18,3,0.00
08-Jan-18,4,0.00
08-Jan-18,5,0.00
08-Jan-18,6,0.00
08-Jan-18,7,1.50
08-Jan-18,8,11.50
08-Jan-18,9,11.59
08-Jan-18,10,9.67
08-Jan-18,11,14.35
08-Jan-18,12,69.32
08-Jan-18,13,41.11
08-Jan-18,14,18.58
08-Jan-18,15,33.46
08-Jan-18,16,14.35
08-Jan-18,17,24.56
08-Jan-18,18,14.38
08-Jan-18,19,14.34
08-Jan-18,20,12.47
08-Jan-18,21,10.41
08-Jan-18,22,12.97
08-Jan-18,23,0.00
08-Jan-18,24,0.00
09-Jan-18,1,4.77
09-Jan-18,2,0.00
09-Jan-18,3,0.00
09-Jan-18,4,1.11
09-Jan-18,5,7.76
09-Jan-18,6,2.22
09-Jan-18,7,18.28
09-Jan-18,8,37.56
09-Jan-18,9,39.53
09-Jan-18,10,37.28
09-Jan-18,11,39.15
09-Jan-18,12,37.97
09-Jan-18,13,38.59
09-Jan-18,14,39.39
09-Jan-18,15,36.56
09-Jan-18,16,35.56
09-Jan-18,17,42.36
09-Jan-18,18,43.85
09-Jan-18,19,42.36
09-Jan-18,20,43.02
09-Jan-18,21,41.34
09-Jan-18,22,38.31
09-Jan-18,23,41.66
09-Jan-18,24,30.97
10-Jan-18,1,6.57
10-Jan-18,2,3.33
10-Jan-18,3,0.00
10-Jan-18,4,3.32
10-Jan-18,5,0.00
10-Jan-18,6,0.00
10-Jan-18,7,4.86
10-Jan-18,8,22.02
10-Jan-18,9,13.97
10-Jan-18,10,21.61
10-Jan-18,11,19.91
10-Jan-18,12,13.34
10-Jan-18,13,13.33
10-Jan-18,14,37.91
10-Jan-18,15,31.24
10-Jan-18,16,6.19
10-Jan-18,17,5.75
10-Jan-18,18,28.69
10-Jan-18,19,29.48
10-Jan-18,20,12.84
10-Jan-18,21,8.21
