Date,Hour,Total Market Demand,Ontario Demand
01-Jan-18,1,18974,16627
01-Jan-18,2,18447,16084
01-Jan-18,3,18453,15866
01-Jan-18,4,18662,15725
01-Jan-18,5,18060,15470
01-Jan-18,6,18429,15502
01-Jan-18,7,19137,15750
01-Jan-18,8,19470,15887
01-Jan-18,9,19333,15923
01-Jan-18,10,19816,16381
01-Jan-18,11,19667,16672
01-Jan-18,12,19682,16720
01-Jan-18,13,19621,16839
01-Jan-18,14,19600,16772
01-Jan-18,15,19605,16868
01-Jan-18,16,20561,17314
01-Jan-18,17,21717,18081
01-Jan-18,18,23149,19339
01-Jan-18,19,22944,19249
01-Jan-18,20,22851,18960
01-Jan-18,21,22468,18663
01-Jan-18,22,21678,18074
01-Jan-18,23,20233,17218
01-Jan-18,24,19408,16356
02-Jan-18,1,19138,15809
02-Jan-18,2,18169,15465
02-Jan-18,3,18272,15255
02-Jan-18,4,18064,15236
02-Jan-18,5,18484,15275
02-Jan-18,6,19221,15726
02-Jan-18,7,20418,16874
02-Jan-18,8,21870,17897
02-Jan-18,9,22284,18232
02-Jan-18,10,22603,18739
02-Jan-18,11,23242,19030
02-Jan-18,12,22869,19126
02-Jan-18,13,22442,18984
02-Jan-18,14,21919,18873
02-Jan-18,15,21872,18753
02-Jan-18,16,22010,18883
02-Jan-18,17,22985,19396
02-Jan-18,18,24161,20331
02-Jan-18,19,23960,19890
02-Jan-18,20,23865,19937
02-Jan-18,21,23367,19633
02-Jan-18,22,21823,18816
02-Jan-18,23,20146,17792
02-Jan-18,24,19628,16921
03-Jan-18,1,19030,16277
03-Jan-18,2,18844,15835
03-Jan-18,3,18504,15606
03-Jan-18,4,18315,15554
03-Jan-18,5,18757,15656
03-Jan-18,6,19379,16088
03-Jan-18,7,20617,17140
03-Jan-18,8,21698,18148
03-Jan-18,9,21990,18464
03-Jan-18,10,22435,18933
03-Jan-18,11,22662,19013
03-Jan-18,12,22274,18830
03-Jan-18,13,22384,18804
03-Jan-18,14,22441,18848
03-Jan-18,15,22577,18860
03-Jan-18,16,22805,19119
03-Jan-18,17,23689,19471
03-Jan-18,18,24490,20380
03-Jan-18,19,24010,20108
03-Jan-18,20,23590,20005
03-Jan-18,21,23295,19754
03-Jan-18,22,22638,19002
03-Jan-18,23,21469,18102
03-Jan-18,24,19829,16963
04-Jan-18,1,18662,16223
04-Jan-18,2,18461,15787
04-Jan-18,3,18096,15467
04-Jan-18,4,17847,15185
04-Jan-18,5,18191,15412
04-Jan-18,6,19063,15902
04-Jan-18,7,20693,17158
04-Jan-18,8,21939,18198
04-Jan-18,9,22316,18537
04-Jan-18,10,22367,18760
04-Jan-18,11,22378,18699
04-Jan-18,12,22337,18639
04-Jan-18,13,22253,18537
04-Jan-18,14,22152,18546
04-Jan-18,15,21673,18299
04-Jan-18,16,22234,18613
04-Jan-18,17,22757,19028
04-Jan-18,18,23866,19935
04-Jan-18,19,23622,19930
04-Jan-18,20,23677,19980
04-Jan-18,21,23391,19856
04-Jan-18,22,23095,19678
04-Jan-18,23,21847,18889
04-Jan-18,24,20603,17940
05-Jan-18,1,19752,17475
05-Jan-18,2,19217,16808
05-Jan-18,3,19237,16679
05-Jan-18,4,19273,16620
05-Jan-18,5,19194,16706
05-Jan-18,6,19993,17173
05-Jan-18,7,21096,18123
05-Jan-18,8,22149,19177
05-Jan-18,9,22797,19660
05-Jan-18,10,23030,19836
05-Jan-18,11,23281,19789
05-Jan-18,12,23073,19773
05-Jan-18,13,22737,19585
05-Jan-18,14,22802,19503
05-Jan-18,15,22763,19430
05-Jan-18,16,22751,19647
05-Jan-18,17,23057,20022
05-Jan-18,18,24158,20906
05-Jan-18,19,24185,20706
05-Jan-18,20,23571,20429
05-Jan-18,21,23802,20276
05-Jan-18,22,23320,19754
05-Jan-18,23,22111,18914
05-Jan-18,24,21347,18064
06-Jan-18,1,20432,17293
06-Jan-18,2,19959,16937
06-Jan-18,3,19524,16505
06-Jan-18,4,19633,16599
06-Jan-18,5,19752,16647
06-Jan-18,6,19906,16764
06-Jan-18,7,20231,17155
06-Jan-18,8,21117,17841
06-Jan-18,9,21936,18703
06-Jan-18,10,22250,19116
06-Jan-18,11,22355,19225
06-Jan-18,12,22877,19340
06-Jan-18,13,22640,19153
06-Jan-18,14,22368,18895
06-Jan-18,15,22394,18781
06-Jan-18,16,22775,19077
06-Jan-18,17,23253,19741
06-Jan-18,18,24125,20768
06-Jan-18,19,22845,20217
06-Jan-18,20,22817,19782
06-Jan-18,21,22951,19725
06-Jan-18,22,23014,19538
06-Jan-18,23,21983,18723
06-Jan-18,24,21033,17819
07-Jan-18,1,20506,17015
07-Jan-18,2,19934,16531
07-Jan-18,3,19518,16240
07-Jan-18,4,19094,16103
07-Jan-18,5,19062,16031
07-Jan-18,6,19090,16095
07-Jan-18,7,19448,16439
07-Jan-18,8,19799,16797
07-Jan-18,9,20384,17181
07-Jan-18,10,20842,17757
07-Jan-18,11,21097,18095
07-Jan-18,12,21871,18351
07-Jan-18,13,22299,18486
07-Jan-18,14,22023,18714
07-Jan-18,15,22360,18784
07-Jan-18,16,22458,18833
07-Jan-18,17,23335,19370
07-Jan-18,18,24439,20429
07-Jan-18,19,23954,19967
07-Jan-18,20,23709,19363
07-Jan-18,21,22909,18821
07-Jan-18,22,21703,18019
07-Jan-18,23,20609,17172
07-Jan-18,24,19697,16221
08-Jan-18,1,18439,15521
08-Jan-18,2,18057,15129
08-Jan-18,3,17697,14916
08-Jan-18,4,17765,14880
08-Jan-18,5,17736,14919
08-Jan-18,6,18389,15426
08-Jan-18,7,19038,16606
08-Jan-18,8,20243,17913
08-Jan-18,9,20371,18029
08-Jan-18,10,20351,18047
08-Jan-18,11,20725,18239
08-Jan-18,12,20741,18177
08-Jan-18,13,20657,18185
08-Jan-18,14,21392,18242
08-Jan-18,15,21328,18245
08-Jan-18,16,21169,18103
08-Jan-18,17,21403,18502
08-Jan-18,18,22305,19355
08-Jan-18,19,22089,19080
08-Jan-18,20,21741,18840
08-Jan-18,21,21309,18477
08-Jan-18,22,20820,17814
08-Jan-18,23,19320,16740
08-Jan-18,24,18222,15681
09-Jan-18,1,17430,14900
09-Jan-18,2,17014,14375
09-Jan-18,3,16805,14203
09-Jan-18,4,16683,14134
09-Jan-18,5,16808,14246
09-Jan-18,6,17042,14863
09-Jan-18,7,18154,16195
09-Jan-18,8,19809,17635
09-Jan-18,9,19795,17553
09-Jan-18,10,19720,17577
09-Jan-18,11,19657,17574
09-Jan-18,12,19686,17652
09-Jan-18,13,20027,17417
09-Jan-18,14,20140,17600
09-Jan-18,15,20010,17726
09-Jan-18,16,20208,18005
09-Jan-18,17,20960,18566
09-Jan-18,18,22106,19548
09-Jan-18,19,21816,19229
09-Jan-18,20,21631,19117
09-Jan-18,21,21197,18712
09-Jan-18,22,20690,18074
09-Jan-18,23,19206,16986
09-Jan-18,24,18354,15863
10-Jan-18,1,17660,15104
10-Jan-18,2,17712,14699
10-Jan-18,3,17663,14497
10-Jan-18,4,17897,14508
10-Jan-18,5,17826,14674
10-Jan-18,6,18215,15273
10-Jan-18,7,18909,16444
10-Jan-18,8,20397,17776
10-Jan-18,9,20484,17862
10-Jan-18,10,20210,17599
10-Jan-18,11,19844,17349
10-Jan-18,12,19895,17183
10-Jan-18,13,19901,17097
10-Jan-18,14,19383,17157
10-Jan-18,15,19778,17490
10-Jan-18,16,20414,17736
10-Jan-18,17,20737,18085
10-Jan-18,18,21462,19154
10-Jan-18,19,21301,18712
10-Jan-18,20,21383,18470
10-Jan-18,21,21099,18085
10-Jan-18,22,20643,17325
10-Jan-18,23,19403,16291
10-Jan-18,24,18352,15168
11-Jan-18,1,17931,14338
11-Jan-18,2,17471,13821
11-Jan-18,3,17157,13386
11-Jan-18,4,16848,13218
11-Jan-18,5,16930,13289
11-Jan-18,6,17478,13771
11-Jan-18,7,18460,15146
11-Jan-18,8,20044,16540
11-Jan-18,9,20403,16828
11-Jan-18,10,19959,16789
11-Jan-18,11,19463,16797
11-Jan-18,12,19373,16549
11-Jan-18,13,19379,16459
11-Jan-18,14,19423,16492
11-Jan-18,15,19493,16619
11-Jan-18,16,19556,16858
11-Jan-18,17,20085,17375
11-Jan-18,18,21031,18255
11-Jan-18,19,20665,17915
11-Jan-18,20,20352,17828
11-Jan-18,21,20043,17481
11-Jan-18,22,19428,16772
11-Jan-18,23,18718,15708
11-Jan-18,24,17244,14433
12-Jan-18,1,16918,13692
12-Jan-18,2,16349,13150
12-Jan-18,3,16072,12942
12-Jan-18,4,16089,12974
12-Jan-18,5,16300,13082
12-Jan-18,6,16692,13772
12-Jan-18,7,17138,14724
12-Jan-18,8,18450,16170
12-Jan-18,9,19292,16875
12-Jan-18,10,19462,17088
12-Jan-18,11,19750,17374
12-Jan-18,12,20128,17628
12-Jan-18,13,19525,17643
12-Jan-18,14,20021,17922
12-Jan-18,15,19691,17765
12-Jan-18,16,19882,17849
12-Jan-18,17,20549,18390
12-Jan-18,18,21531,19431
12-Jan-18,19,21444,19339
12-Jan-18,20,21403,19106
12-Jan-18,21,21372,18706
12-Jan-18,22,20863,18202
12-Jan-18,23,19692,17312
12-Jan-18,24,18661,16182
13-Jan-18,1,18588,15585
13-Jan-18,2,18298,15247
13-Jan-18,3,18153,15016
13-Jan-18,4,18051,14912
13-Jan-18,5,18011,14964
13-Jan-18,6,18181,15279
13-Jan-18,7,18547,15781
13-Jan-18,8,19064,16492
13-Jan-18,9,19651,17259
13-Jan-18,10,19993,17775
13-Jan-18,11,19898,17503
13-Jan-18,12,19728,17436
13-Jan-18,13,20156,17173
13-Jan-18,14,20181,17049
13-Jan-18,15,20177,16906
13-Jan-18,16,20476,17314
13-Jan-18,17,21236,18271
13-Jan-18,18,22748,19813
13-Jan-18,19,22069,19738
13-Jan-18,20,21903,19118
13-Jan-18,21,21872,18801
13-Jan-18,22,21516,18279
13-Jan-18,23,20474,17610
13-Jan-18,24,19505,16691
14-Jan-18,1,19676,16245
14-Jan-18,2,19298,15859
14-Jan-18,3,18979,15525
14-Jan-18,4,18879,15385
14-Jan-18,5,19205,15417
14-Jan-18,6,19420,15567
14-Jan-18,7,18064,15940
14-Jan-18,8,20242,16662
14-Jan-18,9,20908,17214
14-Jan-18,10,20174,17298
14-Jan-18,11,19864,17253
14-Jan-18,12,20134,17227
14-Jan-18,13,20525,17076
14-Jan-18,14,20862,17010
14-Jan-18,15,20649,17042
14-Jan-18,16,21171,17750
14-Jan-18,17,21710,18655
14-Jan-18,18,22599,19958
14-Jan-18,19,22620,19621
14-Jan-18,20,22564,19328
14-Jan-18,21,22752,19049
14-Jan-18,22,22124,18427
14-Jan-18,23,20741,17276
14-Jan-18,24,19882,16197
15-Jan-18,1,19745,16003
15-Jan-18,2,19637,15583
15-Jan-18,3,19049,15230
15-Jan-18,4,19039,15240
15-Jan-18,5,19162,15441
15-Jan-18,6,19971,15944
15-Jan-18,7,21847,17472
15-Jan-18,8,22317,18989
15-Jan-18,9,22722,19317
15-Jan-18,10,23604,19335
15-Jan-18,11,23450,19278
15-Jan-18,12,23481,19124
15-Jan-18,13,22976,18984
15-Jan-18,14,23182,19018
15-Jan-18,15,23547,19062
15-Jan-18,16,23468,19250
15-Jan-18,17,22586,19612
15-Jan-18,18,22272,20073
15-Jan-18,19,22417,19953
15-Jan-18,20,22501,19943
15-Jan-18,21,23247,19990
15-Jan-18,22,22989,19387
15-Jan-18,23,22028,18259
15-Jan-18,24,20572,17018
16-Jan-18,1,20197,16484
16-Jan-18,2,19569,16010
16-Jan-18,3,19332,15799
16-Jan-18,4,19228,15673
16-Jan-18,5,19261,15650
16-Jan-18,6,19803,16276
16-Jan-18,7,21239,17609
16-Jan-18,8,22222,18844
16-Jan-18,9,22474,19013
16-Jan-18,10,23074,19190
16-Jan-18,11,22865,19013
16-Jan-18,12,22592,18752
16-Jan-18,13,22111,18495
16-Jan-18,14,21967,18256
16-Jan-18,15,21581,18232
16-Jan-18,16,21833,18356
16-Jan-18,17,22798,19001
16-Jan-18,18,23816,19988
16-Jan-18,19,24227,19945
16-Jan-18,20,23944,19833
16-Jan-18,21,23467,19604
16-Jan-18,22,22457,18829
16-Jan-18,23,21497,17794
16-Jan-18,24,20323,16718
17-Jan-18,1,18805,16173
17-Jan-18,2,18645,15854
17-Jan-18,3,18566,15720
17-Jan-18,4,18243,15588
17-Jan-18,5,18598,15742
17-Jan-18,6,19351,16230
17-Jan-18,7,20548,17406
17-Jan-18,8,22137,18909
17-Jan-18,9,22413,18892
17-Jan-18,10,22165,18769
17-Jan-18,11,21712,18540
17-Jan-18,12,21134,18242
17-Jan-18,13,20381,17830
17-Jan-18,14,20446,17678
17-Jan-18,15,20543,17635
17-Jan-18,16,20823,17754
17-Jan-18,17,21823,18472
17-Jan-18,18,23203,19623
17-Jan-18,19,23302,19797
17-Jan-18,20,22992,19489
17-Jan-18,21,22766,19250
17-Jan-18,22,22090,18527
17-Jan-18,23,20498,17299
17-Jan-18,24,18885,16299
18-Jan-18,1,18659,15534
18-Jan-18,2,18549,15093
18-Jan-18,3,18263,14874
18-Jan-18,4,18190,14804
18-Jan-18,5,18034,14939
18-Jan-18,6,18586,15551
18-Jan-18,7,19597,16859
18-Jan-18,8,21339,18321
18-Jan-18,9,21349,18368
18-Jan-18,10,21461,18374
18-Jan-18,11,21475,18315
18-Jan-18,12,21665,18507
18-Jan-18,13,21818,18689
18-Jan-18,14,21118,18017
18-Jan-18,15,21024,17968
18-Jan-18,16,21143,18196
18-Jan-18,17,21727,18785
18-Jan-18,18,22661,19704
18-Jan-18,19,22634,19691
18-Jan-18,20,22169,19248
18-Jan-18,21,21722,18856
18-Jan-18,22,21019,18135
18-Jan-18,23,19693,17078
18-Jan-18,24,18646,15936
19-Jan-18,1,17985,15212
19-Jan-18,2,17697,14803
19-Jan-18,3,17704,14610
19-Jan-18,4,17673,14448
19-Jan-18,5,17368,14527
19-Jan-18,6,17944,15136
19-Jan-18,7,18753,16133
19-Jan-18,8,20241,17464
19-Jan-18,9,20663,17745
19-Jan-18,10,20652,17729
19-Jan-18,11,20420,17465
19-Jan-18,12,20428,17136
19-Jan-18,13,19359,16634
19-Jan-18,14,19374,16544
19-Jan-18,15,19249,16411
19-Jan-18,16,19636,16601
19-Jan-18,17,20395,17224
19-Jan-18,18,21380,18286
19-Jan-18,19,21182,18264
19-Jan-18,20,21093,18035
19-Jan-18,21,20642,17743
19-Jan-18,22,19967,17190
19-Jan-18,23,18935,16286
19-Jan-18,24,18374,15174
20-Jan-18,1,17445,14479
20-Jan-18,2,16996,13733
20-Jan-18,3,16621,13392
20-Jan-18,4,16507,13240
20-Jan-18,5,16548,13251
20-Jan-18,6,16710,13399
20-Jan-18,7,17034,13931
20-Jan-18,8,17399,14728
20-Jan-18,9,17973,15388
20-Jan-18,10,18232,15833
20-Jan-18,11,18159,16010
20-Jan-18,12,18146,15817
20-Jan-18,13,17923,15341
20-Jan-18,14,17520,14981
20-Jan-18,15,17357,14820
20-Jan-18,16,17933,15125
20-Jan-18,17,18648,16030
20-Jan-18,18,19912,17278
20-Jan-18,19,19935,17375
20-Jan-18,20,19444,16958
20-Jan-18,21,18648,16523
20-Jan-18,22,18261,16040
20-Jan-18,23,17832,15393
20-Jan-18,24,17030,14596
21-Jan-18,1,16382,13896
21-Jan-18,2,16048,13518
21-Jan-18,3,15842,13326
21-Jan-18,4,15791,13196
21-Jan-18,5,15867,13284
21-Jan-18,6,16139,13497
21-Jan-18,7,16513,13952
21-Jan-18,8,16598,14445
21-Jan-18,9,17268,14955
21-Jan-18,10,17539,15349
21-Jan-18,11,17697,15509
21-Jan-18,12,17034,15535
21-Jan-18,13,17688,15594
21-Jan-18,14,18293,15652
21-Jan-18,15,18383,15848
21-Jan-18,16,18275,16232
21-Jan-18,17,18237,17052
21-Jan-18,18,19312,18035
21-Jan-18,19,19353,17948
21-Jan-18,20,18869,17531
21-Jan-18,21,18448,17149
21-Jan-18,22,17846,16563
21-Jan-18,23,16877,15623
21-Jan-18,24,16676,14839
22-Jan-18,1,16421,14194
22-Jan-18,2,16274,13795
22-Jan-18,3,16152,13678
22-Jan-18,4,16061,13635
22-Jan-18,5,15997,13788
22-Jan-18,6,16733,14392
22-Jan-18,7,17247,15592
22-Jan-18,8,18926,17091
22-Jan-18,9,19253,17471
22-Jan-18,10,19453,17699
22-Jan-18,11,20031,17879
22-Jan-18,12,20272,18097
22-Jan-18,13,20443,18122
22-Jan-18,14,20406,18125
22-Jan-18,15,19716,18037
22-Jan-18,16,19739,18210
22-Jan-18,17,19789,18591
22-Jan-18,18,20416,19289
22-Jan-18,19,20068,18938
22-Jan-18,20,19770,18753
22-Jan-18,21,19823,18365
22-Jan-18,22,19256,17709
22-Jan-18,23,18742,16616
22-Jan-18,24,17847,15502
23-Jan-18,1,17494,14752
23-Jan-18,2,17024,14360
23-Jan-18,3,16426,14009
23-Jan-18,4,15929,13910
23-Jan-18,5,16047,13963
23-Jan-18,6,16460,14326
23-Jan-18,7,17519,15596
23-Jan-18,8,18439,16819
23-Jan-18,9,18787,17099
23-Jan-18,10,19184,17015
23-Jan-18,11,19350,16918
23-Jan-18,12,19444,16863
23-Jan-18,13,19545,16864
23-Jan-18,14,19603,16902
23-Jan-18,15,19684,16974
23-Jan-18,16,20031,17308
23-Jan-18,17,20601,17906
23-Jan-18,18,21178,18683
23-Jan-18,19,21226,18694
23-Jan-18,20,20958,18677
23-Jan-18,21,20630,18354
23-Jan-18,22,19454,17587
23-Jan-18,23,18252,16481
23-Jan-18,24,17428,15537
24-Jan-18,1,17137,14851
24-Jan-18,2,17066,14766
24-Jan-18,3,17219,14699
24-Jan-18,4,16784,14665
24-Jan-18,5,17050,14893
24-Jan-18,6,17888,15385
24-Jan-18,7,18949,16783
24-Jan-18,8,20316,18337
24-Jan-18,9,19919,18538
24-Jan-18,10,19551,18273
24-Jan-18,11,18973,17837
24-Jan-18,12,19030,17590
24-Jan-18,13,18953,17175
24-Jan-18,14,19060,16951
24-Jan-18,15,19311,17038
24-Jan-18,16,18964,17471
24-Jan-18,17,19882,18504
24-Jan-18,18,21468,19593
24-Jan-18,19,21442,19659
24-Jan-18,20,21320,19631
24-Jan-18,21,21127,19332
24-Jan-18,22,19996,18651
24-Jan-18,23,18707,17542
24-Jan-18,24,18043,16530
